Index,SortingAlgo,SortingType,DataType,DataSize,ExeTime
1,BubbleSortUntilNoChange,Ascending,Random,100,658539
2,BubbleSortUntilNoChange,Ascending,Random,100,485211
3,BubbleSortUntilNoChange,Ascending,Random,100,516988
4,BubbleSortUntilNoChange,Ascending,Random,100,460514
5,BubbleSortUntilNoChange,Ascending,Random,100,363057
6,BubbleSortUntilNoChange,Ascending,Random,100,301363
7,BubbleSortUntilNoChange,Ascending,Random,100,373325
8,BubbleSortUntilNoChange,Ascending,Random,100,219942
9,BubbleSortUntilNoChange,Ascending,Random,100,109774
10,BubbleSortUntilNoChange,Ascending,Random,100,103852
1,BubbleSortUntilNoChange,Ascending,Sorted,100,2747
2,BubbleSortUntilNoChange,Ascending,Sorted,100,2165
3,BubbleSortUntilNoChange,Ascending,Sorted,100,2158
4,BubbleSortUntilNoChange,Ascending,Sorted,100,2079
5,BubbleSortUntilNoChange,Ascending,Sorted,100,1810
6,BubbleSortUntilNoChange,Ascending,Sorted,100,2249
7,BubbleSortUntilNoChange,Ascending,Sorted,100,1298
8,BubbleSortUntilNoChange,Ascending,Sorted,100,2379
9,BubbleSortUntilNoChange,Ascending,Sorted,100,1246
10,BubbleSortUntilNoChange,Ascending,Sorted,100,1273
1,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,139919
2,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,140182
3,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,154030
4,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,139609
5,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,145385
6,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,141369
7,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,140557
8,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,140393
9,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,283512
10,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,243043
1,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,144488
2,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,84333
3,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,97294
4,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,84228
5,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,61861
6,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,82200
7,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,64259
8,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,69720
9,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,61648
10,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,65310
1,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,225749
2,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,33451
3,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,21439
4,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,3840
5,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,4401
6,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,3182
7,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,2852
8,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,83663
9,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,4767
10,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,3062
1,BubbleSortUntilNoChange,Ascending,Random,1000,28267194
2,BubbleSortUntilNoChange,Ascending,Random,1000,3772427
3,BubbleSortUntilNoChange,Ascending,Random,1000,4173228
4,BubbleSortUntilNoChange,Ascending,Random,1000,5258997
5,BubbleSortUntilNoChange,Ascending,Random,1000,6554203
6,BubbleSortUntilNoChange,Ascending,Random,1000,5075464
7,BubbleSortUntilNoChange,Ascending,Random,1000,3929979
