Index,SortingAlgo,SortingType,DataType,DataSize,ExeTime
1,BubbleSortUntilNoChange,Ascending,Random,100,0.788071000
2,BubbleSortUntilNoChange,Ascending,Random,100,0.394499000
3,BubbleSortUntilNoChange,Ascending,Random,100,0.397838000
4,BubbleSortUntilNoChange,Ascending,Random,100,0.369189000
5,BubbleSortUntilNoChange,Ascending,Random,100,0.369887000
6,BubbleSortUntilNoChange,Ascending,Random,100,0.340983000
7,BubbleSortUntilNoChange,Ascending,Random,100,0.406626000
8,BubbleSortUntilNoChange,Ascending,Random,100,0.245735000
9,BubbleSortUntilNoChange,Ascending,Random,100,0.129547000
10,BubbleSortUntilNoChange,Ascending,Random,100,0.129106000
1,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001456000
2,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001350000
3,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001335000
4,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001298000
5,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001302000
6,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001260000
7,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001325000
8,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001345000
9,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001528000
10,BubbleSortUntilNoChange,Ascending,Sorted,100,0.001651000
1,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.263802000
2,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.172880000
3,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.156496000
4,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.267371000
5,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.153859000
6,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.153875000
7,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.160302000
8,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.204754000
9,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.170980000
10,BubbleSortUntilNoChange,Ascending,ReverseSorted,100,0.152756000
1,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.055801000
2,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.076919000
3,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.050860000
4,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.057894000
5,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.077807000
6,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.217112000
7,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.205346000
8,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.114682000
9,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.116542000
10,BubbleSortUntilNoChange,Ascending,PartiallySorted,100,0.062514000
1,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,0.057508000
2,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,0.007058000
3,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,0.015328000
4,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,0.002162000
5,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,0.002015000
6,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,0.003855000
7,BubbleSortUntilNoChange,Ascending,DuplicateValues,100,0.002094000
