Task Index,Selected Identifier,Is Correct,Time Taken (ms)
0,rightLeft,True,16514
1,bubbleSortAlgorithm,True,3833
2,treeTraversal,True,2400
3,binarySearch,True,1966
4,mergeSort,True,1900
5,hashTable,True,1500
6,depthFirstSearch,True,2733
7,quickSort,True,2417
8,priorityQueue,True,1549
9,linkedList,True,1333
10,right-left,True,6301
11,bubble-sort-algorithm,True,1699
12,tree-traversal,True,1450
13,binary-search,True,1250
14,merge-sort,True,1150
15,hash-table,True,850
16,depth-first-search,True,2184
17,quick-sort,True,1716
18,priority-queue,True,1184
19,linked-list,True,934
0,rightLeft,True,3480
1,bubbleSortAlgorithm,True,3567
2,treeTraversal,True,3016
3,binarySearch,True,2566
4,mergeSort,True,1399
5,hashTable,True,2517
6,depthFirstSearch,True,3649
7,quickSort,True,2201
8,priorityQueue,True,3349
9,linkedList,True,1566
10,right-left,True,3567
11,bubble-sort-algorithm,True,1016
12,tree-traversal,True,1717
13,binary-search,True,2000
14,merge-sort,True,2066
15,hash-table,True,1284
16,depth-first-search,True,3300
17,quick-sort,True,1600
18,priority-queue,True,1183
19,linked-list,True,1366
0,rightLeft,True,2215
1,bubbleSortalgorithm,False,1934
2,treeTraversal,True,1833
3,binarySearch,True,1732
4,mergeSort,True,2056
5,hashTable,True,3294
6,depthFirstSearch,True,3400
7,quickSort,True,2400
8,priorityQueue,True,2668
9,linkedList,True,1833
10,right-left,True,1966
11,Bubble-sort-algorithm,False,2184
12,tree-traversal,True,2399
13,binary-search,True,2034
14,merge-sort,True,1867
15,hash-Table,False,4115
16,depth-first-search,True,2854
17,quick-sort,True,1564
18,priority-queue,True,1616
19,linked-list,True,1000
0,Right Left,False,6748
1,bubbleSortAlgorithm,True,4066
2,TreeTraversal,False,2350
3,binarySearch,True,2700
4,mergeSort,True,2217
5,hashtable,False,5016
6,depthFirstSearch,True,4484
7,quickSort,True,1150
8,priorityQueue,True,2116
9,LinkedList,False,2550
10,right-left,True,1950
11,bubblesort-algorithm,False,1917
12,tree-traversal,True,4317
13,binary-search,True,2449
14,merge-sort,True,1200
15,hash-table,True,850
16,depth-first-Search,False,2967
17,quick-sort,True,950
18,priority-queue,True,1383
19,linked-list,True,1083
0,rightLeft,True,4163
1,bubbleSortAlgorithm,True,3117
2,treeTraversal,True,3166
3,binarySearch,True,2550
4,mergeSort,True,2784
5,hashTable,True,2466
6,depthFirstSearch,True,3350
7,quickSort,True,3800
8,priorityQueue,True,3066
9,linkedList,True,3117
10,right-left,True,3084
11,bubble-sort-algorithm,True,2966
12,tree-traversal,True,2783
13,binary-search,True,3050
14,merge-sort,True,2716
15,hash-table,True,2349
16,depth-first-search,True,2933
17,quick-sort,True,2183
18,priority-queue,True,2134
19,linked-list,True,2066
0,rightLeft,True,2313
1,bubbleSortAlgorithm,True,2484
2,treeTraversal,True,968
3,binarySearch,True,1715
4,mergeSort,True,1150
5,hashTable,True,1133
6,depthFirstSearch,True,3033
7,quickSort,True,1833
8,priorityQueue,True,1550
9,linkedList,True,1117
10,right-left,True,1566
11,bubble-sort-algorithm,True,2017
12,tree-traversal,True,2133
13,binary-search,True,2150
14,merge-sort,True,1683
15,hash-table,True,1901
16,depth-first-search,True,2616
17,quick-sort,True,1566
18,priority-queue,True,1700
19,linked-list,True,1534
0,rightLeft,True,5446
1,bubbleSortAlgorithm,True,4450
2,treetraversal,False,3550
3,BinarySearch,False,4550
4,mergeSort,True,2949
5,hashTable,True,2601
6,depthFirstSearch,True,7883
7,quickSort,True,3433
8,priorityQueue,True,3900
9,linkedList,True,3249
10,right-left,True,3650
11,bubble-sort-algorithm,True,3250
12,tree-traversal,True,3016
13,binary-search,True,3434
14,merge-sort,True,2133
15,hash-table,True,1733
16,depth-first-search,True,2949
17,quick-sort,True,966
18,priority-queue,True,2750
19,linked-list,True,1701
0,rightLeft,True,2780
1,bubbleSortAlgorithm,True,3116
2,treeTraversal,True,1152
3,binarySearch,True,1415
4,mergeSort,True,985
5,hashTable,True,1048
6,depthFirstSearch,True,2367
7,quickSort,True,1249
8,priorityQueue,True,1267
9,linkedList,True,1316
10,right-left,True,1384
11,bubble-sort-algorithm,True,1782
12,tree-traversal,True,1816
13,binary-search,True,1884
14,merge-sort,True,2716
15,hash-table,True,1601
16,depth-first-search,True,1983
17,quick-sort,True,3233
18,priority-queue,True,2017
19,linked-list,True,1550
0,rightLeft,True,2445
1,bubbleSortAlgorithm,True,3133
2,treeTraversal,True,1984
3,binarySearch,True,1666
4,mergeSort,True,2000
5,hashTable,True,1733
6,depthFirstSearch,True,2666
7,quickSort,True,2017
8,priorityQueue,True,1566
9,linkedList,True,1434
10,right-left,True,1899
11,bubble-sort-algorithm,True,2033
12,tree-traversal,True,1816
13,binary-search,True,1766
14,merge-sort,True,1417
15,hash-table,True,1133
16,depth-first-search,True,1867
17,quick-sort,True,2632
18,priority-queue,True,1251
19,linked-list,True,1583
0,rightLeft,True,1280
1,bubble Sor Talgorithm,False,1600
2,treeTraversal,True,2684
3,binarysearch,False,1199
4,mergeSort,True,1116
5,hashTable,True,1283
6,depthfirstsearch,False,1251
7,quickSort,True,1016
8,priorityQueue,True,1219
9,linkedList,True,1865
10,right-left,True,1749
11,bubblesort-algorithm,False,2400
12,tree-traversal,True,1418
13,binary-search,True,1165
14,merge-sort,True,1051
15,hash-table,True,1133
16,depth-first-search,True,1599
17,quick-sort,True,801
18,priority-queue,True,1466
19,linked-List,False,1817
