Task Index,Selected Identifier,Is Correct,Time Taken (ms)
0,Rightleft,false,2647
1,linker-list,false,5300
2,bubbleSortAlgorithm,true,4933
3,hash-tabble,false,3482
4,treeTraversal,true,2049
5,prioity-queue,false,3401
6,binarySearch,true,9050
7,merge-sot,false,6548
8,quickSort,true,2251
9,bublle-sort-algorithm,false,3767
10,depthFirstSearch,true,5367
11,tree-Travesal,false,7966
12,HashTable,false,2716
13,binnary-search,false,2600
14,depth-first-search,true,4218
15,priorityQueue,true,6349
16,quick-sort,true,5384
17,rigth-left,false,4449
18,MergeSort,false,10533
19,linkedList,true,3283
