Task Index,Selected Identifier,Is Correct,Time Taken (ms)
0,rightLeft,true,5446
1,bubbleSortAlgorithm,true,4450
2,treetraversal,false,3550
3,BinarySearch,false,4550
4,mergeSort,true,2949
5,hashTable,true,2601
6,depthFirstSearch,true,7883
7,quickSort,true,3433
8,priorityQueue,true,3900
9,linkedList,true,3249
10,right-left,true,3650
11,bubble-sort-algorithm,true,3250
12,tree-traversal,true,3016
13,binary-search,true,3434
14,merge-sort,true,2133
15,hash-table,true,1733
16,depth-first-search,true,2949
17,quick-sort,true,966
18,priority-queue,true,2750
19,linked-list,true,1701
